n,t
5810,0.272954
5820,0.278567
5830,0.279331
5840,0.275921
5850,0.280306
5860,0.287544
5870,0.289121
5880,0.284318
5890,0.290923
5900,0.300142
5910,0.286598
5920,0.285096
5930,0.284285
5940,0.289048
5950,0.290191
5960,0.287679
5970,0.291943
5980,0.294191
5990,0.300183
6000,0.295118
6010,0.294262
6020,0.309160
6030,0.299548
6040,0.297405
6050,0.298407
6060,0.302224
6070,0.303380
6080,0.299451
6090,0.315466
6100,0.309937
6110,0.310491
6120,0.302933
6130,0.304604
6140,0.310914
6150,0.316750
6160,0.353871
6170,0.343532
6180,0.334273
6190,0.337023
6200,0.320725
6210,0.312853
6220,0.319258
6230,0.319529
6240,0.315910
6250,0.339566
6260,0.323939
6270,0.324528
6280,0.321229
6290,0.335655
6300,0.339611
6310,0.329475
6320,0.330043
6330,0.330520
6340,0.339906
6350,0.331383
6360,0.328483
6370,0.329558
6380,0.342452
6390,0.336974
6400,0.333694
6410,0.333620
6420,0.340956
6430,0.342070
6440,0.338647
6450,0.337808
6460,0.343476
6470,0.347627
6480,0.346006
6490,0.351518
6500,0.363272
6510,0.398552
6520,0.375666
6530,0.355438
6540,0.376378
6550,0.357925
6560,0.350812
6570,0.350001
6580,0.359052
6590,0.356747
6600,0.352281
6610,0.352863
6620,0.389904
6630,0.361935
6640,0.357902
6650,0.357276
6660,0.406725
6670,0.377038
6680,0.405853
6690,0.412193
6700,0.372354
6710,0.373872
6720,0.367159
6730,0.368218
6740,0.375109
6750,0.394597
6760,0.376476
6770,0.387543
6780,0.382973
6790,0.377565
6800,0.374402
6810,0.375376
6820,0.383071
6830,0.383719
6840,0.378977
6850,0.381959
6860,0.389193
6870,0.389329
6880,0.385837
6890,0.385398
6900,0.398303
6910,0.392192
6920,0.388471
6930,0.395490
6940,0.402031
6950,0.400006
6960,0.393287
6970,0.396058
6980,0.401643
6990,0.405251
7000,0.399260
7010,0.400373
7020,0.410854
7030,0.409168
7040,0.409194
7050,0.401207
7060,0.407761
7070,0.412150
7080,0.406413
7090,0.407121
7100,0.415533
7110,0.416254
7120,0.410848
7130,0.411475
7140,0.417085
7150,0.421235
7160,0.422537
7170,0.423660
7180,0.424405
7190,0.424575
7200,0.419767
7210,0.423416
7220,0.430004
7230,0.429363
7240,0.423542
7250,0.425046
7260,0.439015
7270,0.436960
7280,0.428716
7290,0.429588
7300,0.444152
7310,0.438668
7320,0.433172
7330,0.434926
7340,0.443132
7350,0.444459
7360,0.510760
7370,0.522846
7380,0.524610
7390,0.519615
7400,0.540507
7410,0.499509
7420,0.512141
7430,0.512609
7440,0.506238
7450,0.511358
7460,0.514468
7470,0.525354
7480,0.529331
7490,0.522727
7500,0.518814
7510,0.519732
7520,0.512351
7530,0.533192
7540,0.539559
7550,0.542026
7560,0.535103
7570,0.537962
7580,0.597162
7590,0.618353
7600,0.628895
7610,0.536595
7620,0.535957
7630,0.537540
7640,0.546842
7650,0.548376
7660,0.548089
7670,0.553710
7680,0.540071
7690,0.549375
7700,0.552185
7710,0.557187
7720,0.549950
7730,0.564263
7740,0.554651
7750,0.563901
7760,0.562519
7770,0.561379
7780,0.567551
7790,0.570256
7800,0.556418
7810,0.557243
7820,0.578302
7830,0.570034
7840,0.578830
7850,0.566106
7860,0.574188
7870,0.576144
7880,0.570645
7890,0.567231
7900,0.577233
7910,0.577165
7920,0.570998
7930,0.572219
7940,0.585734
7950,0.586610
7960,0.581571
7970,0.581522
7980,0.592392
7990,0.593764
8000,0.588160
8010,0.588810
8020,0.598237
8030,0.597651
8040,0.587005
8050,0.616259
8060,0.598273
8070,0.599537
8080,0.588634
8090,0.590795
8100,0.603783
8110,0.624300
8120,0.617134
8130,0.598747
8140,0.610384
8150,0.611501
8160,0.606574
8170,0.607813
8180,0.616314
8190,0.617470
8200,0.609684
8210,0.611486
8220,0.622130
8230,0.623481
8240,0.616603
8250,0.617675
8260,0.628940
8270,0.630930
8280,0.624191
8290,0.625455
8300,0.634758
8310,0.636331
8320,0.629183
8330,0.633812
8340,0.641599
8350,0.643148
8360,0.635875
8370,0.636641
8380,0.648176
8390,0.648521
8400,0.641955
8410,0.643711
8420,0.653796
8430,0.654895
8440,0.647228
8450,0.648791
8460,0.659071
8470,0.661245
8480,0.657071
8490,0.655686
8500,0.666149
8510,0.667574
8520,0.660600
8530,0.661515
8540,0.672197
8550,0.673993
8560,0.665949
8570,0.668025
8580,0.679086
8590,0.680514
8600,0.672992
8610,0.673598
8620,0.684726
8630,0.690249
8640,0.679004
8650,0.680680
8660,0.691668
8670,0.693362
8680,0.685061
8690,0.686219
8700,0.697461
8710,0.699727
8720,0.691999
8730,0.694009
8740,0.703945
8750,0.705463
8760,0.698226
8770,0.700753
8780,0.713015
8790,0.712283
8800,0.703465
8810,0.706203
8820,0.717599
8830,0.719436
8840,0.711273
8850,0.712194
8860,0.723601
8870,0.725556
8880,0.716430
8890,0.718717
8900,0.729907
8910,0.734987
8920,0.724098
8930,0.725323
8940,0.736659
8950,0.738565
8960,0.730805
8970,0.732492
8980,0.743194
8990,0.744891
9000,0.737640
9010,0.740076
9020,0.762861
9030,0.759955
9040,0.743530
9050,0.752083
9060,0.756584
9070,0.758480
9080,0.750082
9090,0.752606
9100,0.763064
9110,0.764647
9120,0.757463
9130,0.759239
9140,0.769813
9150,0.771650
9160,0.762858
9170,0.765736
9180,0.780614
9190,0.778414
9200,0.769282
9210,0.771589
9220,0.784730
9230,0.784990
9240,0.778288
9250,0.779006
9260,0.790270
9270,0.792645
9280,0.783912
9290,0.785328
9300,0.800080
9310,0.805365
9320,0.790902
9330,0.791878
9340,0.804017
9350,0.806438
9360,0.797041
9370,0.798823
9380,0.854823
9390,0.815638
9400,0.803696
9410,0.805626
9420,0.817879
9430,0.826627
9440,0.811436
9450,0.811559
9460,0.825480
9470,0.827572
9480,0.816741
9490,0.827274
9500,0.832322
9510,0.834280
9520,0.824841
9530,0.825312
9540,0.838646
9550,0.843766
9560,0.831665
9570,0.833281
9580,0.853741
9590,0.847447
9600,0.838122
9610,0.840819
9620,0.852857
9630,0.855275
9640,0.845527
9650,0.846838
9660,0.860908
9670,0.867918
9680,0.852462
9690,0.852876
9700,0.867760
9710,0.869904
9720,0.858778
9730,0.861351
9740,0.874732
9750,0.877200
9760,0.867297
9770,0.868876
9780,0.885765
9790,0.883706
9800,0.873819
9810,0.875132
9820,0.889382
9830,0.890666
9840,0.881382
9850,0.882247
9860,0.896492
9870,0.897704
9880,0.887817
9890,0.891860
9900,0.905586
9910,0.906783
9920,0.895104
9930,0.904168
9940,0.911357
9950,0.913040
9960,0.902606
9970,0.905006
9980,0.917868
9990,0.920177
10000,0.912285
10010,0.912572
10020,0.925427
10030,0.928028
10040,0.916163
10050,0.918690
10060,0.932473
10070,0.935592
10080,0.924017
10090,0.926339
10100,0.939926
10110,0.946211
10120,0.930669
10130,0.933956
10140,0.948089
10150,0.950084
10160,0.939009
10170,0.941740
10180,0.954656
10190,0.957662
10200,0.946804
10210,0.949663
10220,0.965969
10230,0.965055
10240,0.953920
10250,0.956110
10260,0.971026
10270,0.971921
10280,0.961872
10290,0.963535
10300,0.978378
10310,0.979253
10320,0.972342
10330,0.970691
10340,0.986133
10350,0.987680
10360,0.975636
