n,t
2382,0.051972
2384,0.055585
2386,0.051832
2388,0.051444
2390,0.054599
2392,0.053523
2394,0.051569
2396,0.050680
2398,0.058129
2400,0.051817
2402,0.054498
2404,0.055800
2406,0.057676
2408,0.051387
2410,0.053859
2412,0.055725
2414,0.056245
2416,0.054015
2418,0.051570
2420,0.057967
2422,0.053153
2424,0.053007
2426,0.052287
2428,0.060489
2430,0.052117
2432,0.053933
2434,0.053709
2436,0.060187
2438,0.052150
2440,0.056751
2442,0.057182
2444,0.060589
2446,0.052729
2448,0.057639
2450,0.059770
2452,0.060567
2454,0.054629
2456,0.063260
2458,0.054808
2460,0.055276
2462,0.062754
2464,0.060342
2466,0.054571
2468,0.054142
2470,0.055564
2472,0.058860
2474,0.061361
2476,0.055783
2478,0.056148
2480,0.058877
2482,0.060504
2484,0.062176
2486,0.054892
2488,0.056661
2490,0.054419
2492,0.060185
2494,0.060725
2496,0.055857
2498,0.054451
2500,0.054492
2502,0.061427
2504,0.060728
2506,0.056513
2508,0.055230
2510,0.057097
2512,0.061527
2514,0.060400
2516,0.056616
2518,0.055026
2520,0.057431
2522,0.066401
2524,0.066392
2526,0.064511
2528,0.059172
2530,0.055319
2532,0.060127
2534,0.061358
2536,0.065768
2538,0.064718
2540,0.058311
2542,0.063996
2544,0.065802
2546,0.059580
2548,0.058987
2550,0.057359
2552,0.059352
2554,0.059988
2556,0.064791
2558,0.061409
2560,0.065620
2562,0.061865
2564,0.063591
2566,0.057169
2568,0.057676
2570,0.060605
2572,0.066296
2574,0.058946
2576,0.058963
2578,0.057968
2580,0.063570
2582,0.063795
2584,0.065198
2586,0.065619
2588,0.061075
2590,0.063317
2592,0.061777
2594,0.059220
2596,0.063039
2598,0.062727
2600,0.063989
2602,0.061356
2604,0.061465
2606,0.059514
2608,0.060893
2610,0.062743
2612,0.063009
2614,0.064312
2616,0.065336
2618,0.067141
2620,0.066380
2622,0.060182
2624,0.065937
2626,0.065697
2628,0.061401
2630,0.062350
2632,0.065897
2634,0.067800
2636,0.066962
2638,0.063568
2640,0.070276
2642,0.064719
2644,0.065537
2646,0.066511
2648,0.064258
2650,0.064681
2652,0.067636
2654,0.066402
2656,0.077980
2658,0.066935
2660,0.068007
2662,0.066517
2664,0.068851
2666,0.065581
2668,0.067942
2670,0.065079
2672,0.067413
2674,0.065862
2676,0.067270
2678,0.065757
2680,0.065639
2682,0.071234
2684,0.069624
2686,0.066227
2688,0.075231
2690,0.068563
2692,0.068001
2694,0.065808
2696,0.067591
2698,0.067841
2700,0.072665
2702,0.069330
2704,0.067009
2706,0.071331
2708,0.070265
2710,0.068275
2712,0.070170
2714,0.068627
2716,0.068759
2718,0.069201
2720,0.068848
2722,0.071191
2724,0.069471
2726,0.069352
2728,0.070126
2730,0.068813
2732,0.069109
2734,0.075775
2736,0.069577
2738,0.071225
2740,0.072056
2742,0.070435
2744,0.072694
2746,0.078204
2748,0.072057
2750,0.068837
2752,0.071086
2754,0.070909
2756,0.072892
2758,0.073657
2760,0.070825
2762,0.070402
2764,0.074130
2766,0.071467
2768,0.072859
2770,0.075116
2772,0.071585
2774,0.071282
2776,0.074395
2778,0.070731
2780,0.074036
2782,0.073851
2784,0.071868
2786,0.073528
2788,0.076390
2790,0.071898
2792,0.080406
2794,0.083691
2796,0.091095
2798,0.085062
2800,0.081547
2802,0.079640
2804,0.080837
2806,0.077672
2808,0.072118
2810,0.084940
2812,0.074595
2814,0.077878
2816,0.084722
2818,0.085884
2820,0.092160
2822,0.075446
2824,0.083159
2826,0.080156
2828,0.081748
2830,0.075648
2832,0.077569
2834,0.077557
2836,0.084717
2838,0.081082
2840,0.082068
2842,0.079101
2844,0.077686
2846,0.075533
2848,0.075484
2850,0.080733
2852,0.080412
2854,0.077149
2856,0.078258
2858,0.079590
2860,0.077097
2862,0.075570
2864,0.080260
2866,0.078278
2868,0.077068
2870,0.078101
2872,0.076290
2874,0.075313
2876,0.082239
2878,0.078180
2880,0.080528
2882,0.079609
2884,0.077863
2886,0.078260
2888,0.078504
2890,0.076771
2892,0.080073
2894,0.078147
2896,0.080053
2898,0.078335
2900,0.079337
2902,0.076727
2904,0.079101
2906,0.077683
2908,0.080691
2910,0.077568
2912,0.084330
2914,0.083299
2916,0.078826
2918,0.077461
2920,0.078736
2922,0.078451
2924,0.077982
2926,0.080598
2928,0.081221
2930,0.082108
2932,0.083078
2934,0.079489
2936,0.085036
2938,0.086718
2940,0.082591
2942,0.082914
2944,0.086078
2946,0.086980
2948,0.081077
2950,0.079782
2952,0.079886
2954,0.080424
2956,0.080919
2958,0.084347
2960,0.088144
2962,0.086470
2964,0.085006
2966,0.080665
2968,0.081655
2970,0.083129
2972,0.083019
2974,0.081106
2976,0.082709
2978,0.088387
2980,0.088112
2982,0.088235
2984,0.084465
2986,0.082973
2988,0.090219
2990,0.084824
2992,0.085793
2994,0.085245
2996,0.085574
2998,0.085551
3000,0.085109
3002,0.084037
3004,0.085347
3006,0.088354
3008,0.087616
3010,0.086318
3012,0.087031
3014,0.085532
3016,0.084596
3018,0.084062
3020,0.088065
3022,0.086626
3024,0.091211
3026,0.087883
3028,0.086912
3030,0.088722
3032,0.087102
3034,0.090036
3036,0.087101
3038,0.089558
3040,0.088581
3042,0.085476
3044,0.087966
3046,0.087617
3048,0.088057
3050,0.087134
3052,0.088118
3054,0.089767
3056,0.095640
3058,0.087749
3060,0.088778
3062,0.092515
3064,0.095763
3066,0.091583
3068,0.098422
3070,0.090899
3072,0.090078
3074,0.088677
3076,0.089619
3078,0.093436
3080,0.092640
3082,0.091929
3084,0.087323
3086,0.088438
3088,0.090943
3090,0.089947
3092,0.089476
3094,0.087154
3096,0.090042
3098,0.100548
3100,0.099015
3102,0.099382
3104,0.096870
3106,0.098227
3108,0.096233
3110,0.090711
3112,0.088900
3114,0.091409
3116,0.093831
3118,0.092691
3120,0.096439
3122,0.092430
3124,0.095095
3126,0.090507
3128,0.091584
3130,0.096368
3132,0.097749
3134,0.100589
3136,0.096384
3138,0.099596
