n,t
6160,0.440620
6170,0.442158
6180,0.443813
6190,0.449500
6200,0.446377
6210,0.447197
6220,0.449839
6230,0.451619
6240,0.452841
6250,0.454735
6260,0.454286
6270,0.456262
6280,0.457813
6290,0.459293
6300,0.460237
6310,0.462094
6320,0.462906
6330,0.465734
6340,0.466238
6350,0.468620
6360,0.471528
6370,0.471364
6380,0.473508
6390,0.473769
6400,0.477140
6410,0.477160
6420,0.479302
6430,0.479552
6440,0.481774
6450,0.483247
6460,0.483740
6470,0.484767
6480,0.486821
6490,0.488151
6500,0.490075
6510,0.497552
6520,0.493051
6530,0.493922
6540,0.496592
6550,0.498142
6560,0.499003
6570,0.504828
6580,0.503602
6590,0.503459
6600,0.505283
6610,0.511708
6620,0.509146
6630,0.510144
6640,0.511220
6650,0.512877
6660,0.513165
6670,0.514563
6680,0.516653
6690,0.518997
6700,0.520180
6710,0.523256
6720,0.523331
6730,0.526141
6740,0.526752
6750,0.527128
6760,0.531028
6770,0.533333
6780,0.534164
6790,0.534073
6800,0.538726
6810,0.537889
6820,0.539049
6830,0.540244
6840,0.541119
6850,0.544930
6860,0.544986
6870,0.546523
6880,0.548256
6890,0.550043
6900,0.551629
6910,0.553111
6920,0.556737
6930,0.555575
6940,0.559098
6950,0.561021
6960,0.561794
6970,0.562626
6980,0.569101
6990,0.567465
7000,0.567758
7010,0.568966
7020,0.571384
7030,0.573026
7040,0.573884
7050,0.576303
7060,0.578483
7070,0.578413
7080,0.580154
7090,0.582119
7100,0.583237
7110,0.585434
7120,0.591274
7130,0.588940
7140,0.590160
7150,0.594206
7160,0.593851
7170,0.595559
7180,0.597528
7190,0.597959
7200,0.598885
7210,0.600185
7220,0.602284
7230,0.605244
7240,0.606693
7250,0.610129
7260,0.610170
7270,0.611939
7280,0.614972
7290,0.618254
7300,0.616871
7310,0.618412
7320,0.624730
7330,0.624461
7340,0.624342
7350,0.624435
7360,0.627300
7370,0.628536
7380,0.629737
7390,0.631963
7400,0.632978
7410,0.634894
7420,0.637056
7430,0.637812
7440,0.642143
7450,0.644159
7460,0.645211
7470,0.645619
7480,0.647861
7490,0.648541
7500,0.652513
7510,0.652681
7520,0.655271
7530,0.655794
7540,0.657434
7550,0.659594
7560,0.660845
7570,0.662658
7580,0.664979
7590,0.667301
7600,0.669939
7610,0.669356
7620,0.671067
7630,0.674345
7640,0.674915
7650,0.680332
7660,0.679410
7670,0.681157
7680,0.682378
7690,0.683704
7700,0.685377
7710,0.686555
7720,0.689245
7730,0.690867
7740,0.695933
7750,0.695127
7760,0.695451
7770,0.698546
7780,0.699501
7790,0.710406
7800,0.705264
7810,0.705578
7820,0.707892
7830,0.708697
7840,0.711232
7850,0.712526
7860,0.713961
7870,0.715240
7880,0.720191
7890,0.721972
7900,0.721483
7910,0.726740
7920,0.725202
7930,0.726253
